"_id",Action,Indie,Simulation,Adventure,RPG,Racing,Nudity,Strategy,Free to Play,Sports,Casual,Design & Illustration,Web Publishing,Massively Multiplayer,Violent,Gore,Early Access,Sexual Content,Utilities,Animation & Modeling,Video Production,Education,Software Training,Audio Production,Photo Editing,Documentary,Episodic,Short,Movie,Tutorial,Accounting,360 Video
419,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,11,14,8,11,8,0,0,2,6,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,9,2,0,4,7,0,1,0,4,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,4,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,11,4,3,11,8,0,5,15,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,4,0,0,3,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,2,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,4,12,8,4,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,16,16,0,16,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,4,20,18,2,9,0,0,2,15,0,12,0,0,1,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,3,10,7,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,3,5,4,4,3,0,3,4,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,20,0,0,20,11,0,0,11,10,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,2,2,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
550,49,1,1,40,0,0,0,0,3,0,0,0,0,39,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,13,4,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,23,0,0,4,146,0,0,24,0,0,0,0,0,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,6,3,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,0,15,5,10,11,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,34,14,6,17,7,2,0,8,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,2,21,19,3,11,1,1,9,4,0,4,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,7,0,0,3,5,0,0,2,4,0,1,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,23,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,11,3,3,1,3,0,0,3,2,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,2,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961,10,49,3,51,1,0,0,6,0,0,0,0,0,0,7,0,43,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0
1050,19,6,2,6,1,5,0,1,1,5,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7,7,4,7,7,0,7,6,3,0,0,0,0,3,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1053,9,14,14,5,10,1,0,11,0,1,10,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,26,16,16,27,3,1,0,7,2,2,6,0,0,3,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,4,5,1,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,8,0,1,8,0,0,0,0,0,1,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,6,6,0,6,0,0,6,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,10,4,0,7,5,2,0,0,1,1,2,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,9,13,17,13,0,0,12,0,0,0,0,0,8,10,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,8,0,0,9,1,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,1,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,4,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,14,1,1,1,0,0,0,0,6,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,20,9,6,20,5,0,0,6,0,1,1,0,0,11,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
