"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
1430,10,9,0,10,5,0,3,7,0,0,7,2,9,2,1,4,0,4,4,3,1,1,0,0,3,0,0,0,0,0,0,0
744,3,2,0,3,2,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,9,7,1,8,9,0,2,5,0,0,3,0,2,1,0,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14,4,3,1,5,4,0,2,3,0,0,0,1,2,1,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
291,15,12,3,10,16,0,14,2,0,0,0,4,8,6,3,3,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
932,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
318,1,5,4,4,4,0,1,0,0,0,1,4,1,4,0,4,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0
75,95,128,0,88,3,1,0,88,0,0,87,41,0,0,88,0,0,128,0,0,87,0,0,0,0,0,0,0,0,0,0,0
405,72,20,2,73,50,0,6,59,0,0,15,11,26,17,8,61,12,8,3,32,5,3,0,1,0,3,0,0,0,0,0,0
1431,5,8,1,5,3,1,2,3,0,0,1,5,3,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,28,10,1,17,26,2,8,12,1,0,2,3,7,4,3,9,5,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0
1432,6,3,0,2,5,0,0,1,0,0,1,0,2,1,0,2,1,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0
224,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
602,2,66,11,7,7,0,0,1,0,0,10,55,5,15,0,2,0,60,0,0,0,0,0,15,15,0,0,0,0,0,0,0
1433,11,2,0,9,2,1,2,5,0,0,0,0,4,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1434,20,22,14,26,31,0,12,4,0,0,18,4,6,35,19,9,2,4,1,1,1,1,0,10,16,2,0,0,0,0,0,0
1435,5,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,6,37,20,28,23,2,4,6,5,0,11,22,7,27,15,16,5,20,4,1,6,1,0,11,26,3,0,0,0,0,0,0
324,9,5,0,6,5,0,1,6,0,0,4,0,2,1,0,5,3,4,1,0,0,0,0,1,3,0,0,0,0,0,0,0
1436,105,54,0,105,93,2,41,60,2,2,47,30,24,32,2,29,2,38,5,5,33,0,0,5,5,0,0,0,0,0,0,0
948,6,13,9,14,13,0,1,6,0,0,1,13,4,14,4,13,4,4,4,4,4,4,0,1,10,0,0,0,0,0,0,0
731,17,13,6,12,12,0,9,10,0,0,0,3,5,6,4,10,2,1,0,3,0,1,0,0,10,0,0,0,0,0,0,0
931,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,14,15,2,19,17,0,6,6,0,0,0,7,0,8,6,7,8,7,0,0,0,0,0,0,2,6,0,0,0,0,0,0
25,13,11,0,12,4,0,3,3,0,0,8,7,4,2,2,1,0,7,0,7,7,0,0,3,7,3,0,0,0,0,0,0
442,42,0,0,41,39,0,41,0,0,0,0,0,0,41,39,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
878,16,2,0,14,16,1,4,14,0,1,0,1,3,2,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
