"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
769,3625,3506,2239,3618,3624,2,89,765,2,2,2170,2142,3527,2471,2453,1468,30,593,1267,30,0,0,0,16,808,0,0,0,0,0,0,0
908,474,396,0,474,474,0,78,474,0,0,225,0,171,0,0,396,0,171,171,171,171,171,0,0,0,0,0,0,0,0,0,0
1280,8597,11796,3126,2438,11796,2121,11479,191,0,0,0,191,8597,2312,2121,53,2121,5247,2174,0,2121,2121,0,0,6358,0,0,0,0,0,0,0
923,4077,1076,380,3749,2513,495,1418,2849,0,0,585,818,596,732,458,1755,922,481,75,282,0,72,0,136,279,0,0,0,0,0,0,0
1281,695,498,0,695,695,0,197,695,0,0,498,0,0,0,0,0,498,498,0,498,498,0,0,0,0,0,0,0,0,0,0,0
768,2232,4736,2890,3205,2165,39,1880,2273,379,0,812,1578,2345,2516,2329,2500,25,2788,629,181,188,176,0,1292,53,1457,0,0,0,0,0,0
1282,1139,0,0,1023,1139,0,1023,1139,0,0,0,0,0,116,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,879,296,0,354,878,0,275,566,0,0,249,0,49,2,2,79,0,294,47,2,0,0,0,0,0,272,0,0,0,0,0,0
1283,1197,700,0,685,1310,0,1,602,0,0,252,0,1,0,0,611,0,698,1,0,0,0,0,0,447,0,0,0,0,0,0,0
1284,2240,3990,1397,2761,3470,280,1018,1263,0,0,1445,2586,2325,2064,306,2144,167,1239,386,854,213,213,0,231,1929,0,0,0,0,0,0,0
960,1320,739,0,927,1030,36,234,751,36,0,266,2,451,174,438,451,451,717,451,451,715,451,0,0,0,0,0,0,0,0,0,0
501,0,1552,591,591,591,0,0,0,0,0,0,1552,0,591,0,591,0,961,0,0,0,0,0,0,591,0,0,0,0,0,0,0
