"_id",Action,Indie,Simulation,Adventure,RPG,Racing,Nudity,Strategy,Free to Play,Sports,Casual,Design & Illustration,Web Publishing,Massively Multiplayer,Violent,Gore,Early Access,Sexual Content,Utilities,Animation & Modeling,Video Production,Education,Software Training,Audio Production,Photo Editing,Documentary,Episodic,Short,Movie,Tutorial,Accounting,360 Video
167,94,0,0,94,0,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,6,6,0,6,6,0,6,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,42468,46734,12537,29690,17376,2028,165,18884,1316,2241,8180,95,0,5061,4510,2066,5096,90,95,95,0,0,0,0,0,0,0,0,0,0,0,0
741,2745,3172,1774,2644,3749,0,636,1801,637,0,27,0,0,5608,2628,636,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,332,463,332,248,0,0,0,227,0,262,48,133,133,0,179,0,262,0,133,133,133,0,0,133,0,0,0,0,0,0,0,0
809,243,133,21,21,21,20,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,2736,852,0,1093,852,0,852,0,0,0,0,0,0,1093,1093,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,1307,1307,0,1307,1307,0,0,245,0,0,0,0,0,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,3794,87,87,948,9,0,9,0,0,0,0,0,0,861,861,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,1599,564,564,1599,615,0,564,564,51,0,0,0,0,1054,564,564,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,55,0,0,34,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,2633,714,83,1619,433,0,140,72,0,0,182,0,0,495,212,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,673,983,1019,1,186,2,1,1208,696,0,73,0,0,0,471,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,787,874,1233,278,188,6,11,385,0,246,147,345,0,126,126,0,584,0,378,345,0,0,0,0,0,0,0,0,0,0,0,0
1024,218,0,0,0,4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,9098,3184,510,300,329,99,0,451,5511,363,2520,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,294,202,216,236,23,0,0,66,49,123,63,0,0,186,159,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,5576,169,4881,4986,4840,64,0,4817,0,64,0,0,0,4817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,5522,3330,754,3991,1405,110,185,742,155,993,1277,0,0,2590,2420,125,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,0,45,45,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,471,61,0,471,0,0,61,0,0,0,0,0,0,410,471,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,128,476,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,351,574,723,674,715,0,0,242,375,0,28,0,0,242,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,95,0,0,95,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,331,73,0,111,173,0,72,0,214,0,0,0,0,72,214,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,219,314,314,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
